52.1737,Camera Rig FS 1
71.31363,Camera Rig MS 1
78.1142,Camera Rig IS 1
82.59282,Camera Rig CU 1
100.4699,Camera Rig LS 1
115.8995,Camera Rig CU 1b
129.7617,Camera Rig FS 2
142.3108,Camera Rig MS 2
152.7573,Camera Rig MLS 1
153.7504,Camera Rig POV 1
155.3573,Camera Rig CU 2
173.9669,Camera Rig POV 1b
178.8893,Camera Rig POV 2
190.2685,Camera Rig FS 1b
219.0797,Camera Rig MS 3
239.7149,Camera Rig MS 4
248.6933,Camera Rig FS 3
264.0194,Camera Rig MLS 2
278.2609,Camera Rig IS 1b
285.3761,Camera Rig MS 4b
308.5214,Camera Rig FS 2b
326.596,Camera Rig MLS 2b
331.1121,Camera Rig IS 2
337.5605,Camera Rig MS 5
338.6911,Camera Rig POV4
340.3214,Camera Rig CU 3
349.4083,Camera Rig FS 5
354.7266,Camera Rig MS 4c
360.5146,Camera Rig CU 4
367.5246,Camera Rig POV 5
371.224,Camera Rig CU 4b
379.6142,Camera Rig FS 2c
385.5118,Camera Rig MS 4d
403.3554,Camera Rig CU 3b
414.8991,Camera Rig CU Move 1
422.8755,Camera Rig CU 5
432.1003,Camera Rig FS 6
435.4024,Camera Rig CU 5b
453.4522,Camera Rig FS 6b
460.0138,Camera Rig CU 5c
470.7357,Camera Rig POV 6
485.2957,Camera Rig FS 6c
489.386,Camera Rig IS 3
491.6164,Camera Rig FS 1c
495.9197,Camera Rig ECU 1
499.4147,Camera Rig IS 3b
501.3571,Camera Rig ECU 1b
503.2451,Camera Rig ECU 2
507.5728,Camera Rig FS 7
515.8288,Camera Rig MLS 3
517.9754,Camera Rig POV 7
523.218,Camera Rig CU Move 2
526.1422,Camera Rig FS 8
533.0737,Camera Rig MLS 4
545.5979,Camera Rig LS 2
552.8163,Camera Rig WS 2
