53.52271,Camera Rig FS 1
68.77094,Camera Rig MS 1
76.93364,Camera Rig IS 1
82.38675,Camera Rig CU 1
99.31371,Camera Rig LS 1
115.7148,Camera Rig CU 1b
129.9656,Camera Rig FS 2
142.1262,Camera Rig MS 2
152.2665,Camera Rig MLS 1
153.5555,Camera Rig POV 1
155.1312,Camera Rig CU 2
173.8018,Camera Rig POV 1b
178.7213,Camera Rig POV 2
190.0161,Camera Rig FS 1b
218.7586,Camera Rig MS 3
239.5091,Camera Rig MS 4
249.4159,Camera Rig FS 3
267.0521,Camera Rig MLS 2
277.0476,Camera Rig IS 1b
285.2218,Camera Rig MS 4b
308.5685,Camera Rig FS 2b
326.1037,Camera Rig MLS 2b
331.4897,Camera Rig IS 2
337.3761,Camera Rig MS 5
338.92,Camera Rig POV4
340.5863,Camera Rig CU 3
349.2267,Camera Rig FS 5
354.5574,Camera Rig MS 4c
360.8879,Camera Rig CU 4
367.3854,Camera Rig POV 5
371.0164,Camera Rig CU 4b
379.4573,Camera Rig FS 2c
385.7539,Camera Rig MS 4d
403.8013,Camera Rig CU 3b
413.0636,Camera Rig CU Move 1
423.2928,Camera Rig CU 5
431.9218,Camera Rig FS 6
434.2206,Camera Rig CU 5b
453.212,Camera Rig FS 6b
459.8093,Camera Rig CU 5c
470.2949,Camera Rig POV 6
485.5084,Camera Rig FS 6c
490.1719,Camera Rig IS 3
491.472,Camera Rig FS 1c
495.9048,Camera Rig ECU 1
499.2234,Camera Rig IS 3b
501.2123,Camera Rig ECU 1b
503.1,Camera Rig ECU 2
507.3424,Camera Rig FS 7
515.6405,Camera Rig MLS 3
518.2499,Camera Rig POV 7
522.9588,Camera Rig CU Move 2
525.6808,Camera Rig FS 8
532.5888,Camera Rig MLS 4
546.6496,Camera Rig LS 2
553.3563,Camera Rig WS 2
