49.58804,Camera Rig FS 1
71.13628,Camera Rig MS 1
77.55457,Camera Rig IS 1
82.38668,Camera Rig CU 1
99.34782,Camera Rig LS 1
115.7159,Camera Rig CU 1b
129.4657,Camera Rig FS 2
142.1256,Camera Rig MS 2
152.5854,Camera Rig MLS 1
153.5556,Camera Rig POV 1
155.1311,Camera Rig CU 2
170.8708,Camera Rig POV 1b
178.728,Camera Rig POV 2
190.0156,Camera Rig FS 1b
218.1812,Camera Rig MS 3
237.227,Camera Rig MS 4
248.655,Camera Rig FS 3
265.5477,Camera Rig MLS 2
278.0863,Camera Rig IS 1b
285.2286,Camera Rig MS 4b
309.285,Camera Rig FS 2b
327.4654,Camera Rig MLS 2b
330.5973,Camera Rig IS 2
336.4061,Camera Rig MS 5
338.9274,Camera Rig POV4
340.149,Camera Rig CU 3
349.2322,Camera Rig FS 5
354.5642,Camera Rig MS 4c
360.4727,Camera Rig CU 4
367.3808,Camera Rig POV 5
371.0229,Camera Rig CU 4b
379.464,Camera Rig FS 2c
384.9387,Camera Rig MS 4d
403.2593,Camera Rig CU 3b
412.9996,Camera Rig CU Move 1
423.5112,Camera Rig CU 5
431.9297,Camera Rig FS 6
434.6847,Camera Rig CU 5b
453.22,Camera Rig FS 6b
459.8064,Camera Rig CU 5c
470.4688,Camera Rig POV 6
485.5714,Camera Rig FS 6c
489.2247,Camera Rig IS 3
491.4799,Camera Rig FS 1c
496.8004,Camera Rig ECU 1
499.5527,Camera Rig IS 3b
501.2201,Camera Rig ECU 1b
503.0966,Camera Rig ECU 2
507.3394,Camera Rig FS 7
515.6475,Camera Rig MLS 3
517.7678,Camera Rig POV 7
522.9652,Camera Rig CU Move 2
525.6865,Camera Rig FS 8
532.473,Camera Rig MLS 4
545.145,Camera Rig LS 2
553.4414,Camera Rig WS 2
