50.99673,Camera Rig (1)
55.86726,Camera Rig (2)
59.57539,Camera Rig (3)
63.16285,Camera Rig (4)
67.03867,Camera Rig (3)
69.99871,Camera Rig (5)
72.87854,Camera Rig (3)
76.70164,Camera Rig (6)
80.53869,Camera Rig (3)
86.82495,Camera Rig (7)
88.87503,Camera Rig (3)
91.66669,Camera Rig (8)
95.49812,Camera Rig (3)
97.28621,Camera Rig (8)
98.87417,Camera Rig (3)
100.8318,Camera Rig (2)
104.616,Camera Rig (3)
112.0345,Camera Rig (5)
114.8223,Camera Rig (3)
118.6215,Camera Rig (2)
121.0307,Camera Rig (3)
124.8302,Camera Rig (2)
127.739,Camera Rig (3)
129.5385,Camera Rig (8)
136.3682,Camera Rig (3)
138.5009,Camera Rig (8)
142.2875,Camera Rig (3)
145.5001,Camera Rig (8)
149.2402,Camera Rig (3)
151.4505,Camera Rig (9)
155.5373,Camera Rig (3)
162.5804,Camera Rig (7)
167.6988,Camera Rig (10)
170.0097,Camera Rig (7)
173.852,Camera Rig (10)
177.2949,Camera Rig (7)
181.1254,Camera Rig (10)
184.1585,Camera Rig (7)
188.0338,Camera Rig (10)
190.0452,Camera Rig (7)
193.8314,Camera Rig (10)
195.9094,Camera Rig (11)
197.8405,Camera Rig (10)
199.541,Camera Rig (11)
203.4159,Camera Rig (10)
206.9585,Camera Rig (12)
213.0332,Camera Rig (10)
218.7868,Camera Rig (11)
221.9516,Camera Rig (10 bis)
237.6893,Camera Rig (11 bis)
238.6217,Camera Rig (10 bis)
240.2662,Camera Rig (11 bis)
242.0645,Camera Rig (13)
257.8237,Camera Rig (14)
260.5339,Camera Rig (13)
270.6641,Camera Rig (15)
273.2059,Camera Rig (13)
280.5471,Camera Rig (14)
284.379,Camera Rig (16)
287.4227,Camera Rig (15)
289.1656,Camera Rig (16)
317.4193,Camera Rig (14)
320.9177,Camera Rig (17)
323.0055,Camera Rig (18)
324.838,Camera Rig (17)
328.9973,Camera Rig (18)
330.8352,Camera Rig (17)
334.1224,Camera Rig (18)
336.8767,Camera Rig (17)
338.6205,Camera Rig (19)
342.5741,Camera Rig (20)
345.6396,Camera Rig (21)
349.8484,Camera Rig (20)
351.9382,Camera Rig (21)
353.6583,Camera Rig (20)
357.3568,Camera Rig (21)
358.8559,Camera Rig (20)
359.0017,Camera Rig (2)
359.9665,Camera Rig (22)
361.0218,Camera Rig (23)
366.6413,Camera Rig (24)
369.0515,Camera Rig (23)
371.6505,Camera Rig (25)
374.116,Camera Rig (23)
376.893,Camera Rig (25)
384.6339,Camera Rig (26)
392.7741,Camera Rig (24)
395.6837,Camera Rig (27)
404.5239,Camera Rig (28)
409.3688,Camera Rig (29)
410.9072,Camera Rig (28)
413.464,Camera Rig (30)
416.7845,Camera Rig (31)
419.9728,Camera Rig (32)
421.9935,Camera Rig (33)
432.3,Camera Rig (34)
435.4214,Camera Rig (33)
451.2254,Camera Rig (34)
456.2557,Camera Rig (33)
459.4668,Camera Rig (34)
464.1188,Camera Rig (33)
471.5503,Camera Rig (35)
476.2028,Camera Rig (36)
480.2018,Camera Rig (35)
484.6544,Camera Rig (37)
487.9415,Camera Rig (38)
491.2406,Camera Rig (39)
492.6727,Camera Rig (38)
494.5069,Camera Rig (40)
496.2487,Camera Rig (41)
498.1385,Camera Rig (40)
500.0311,Camera Rig (41)
501.6591,Camera Rig (40)
502.1573,Camera Rig (41)
502.7916,Camera Rig (42)
503.1341,Camera Rig (43)
504.0228,Camera Rig (44)
506.1884,Camera Rig (45)
507.6996,Camera Rig (46)
508.0879,Camera Rig (47)
510.2982,Camera Rig (48)
516.8063,Camera Rig (49)
518.2162,Camera Rig (50)
521.4158,Camera Rig (51)
529.6231,Camera Rig (52)
531.2554,Camera Rig (53)
542.6729,Camera Rig (52)
546.1678,Camera Rig (54)
