53.23085,Camera Rig FS 1
68.17162,Camera Rig MS 1
77.42091,Camera Rig IS 1
82.40178,Camera Rig CU 1
99.84264,Camera Rig LS 1
112.0265,Camera Rig CU 1b
129.7995,Camera Rig FS 2
142.1405,Camera Rig MS 2
152.2982,Camera Rig MLS 1
153.7673,Camera Rig POV 1
155.1528,Camera Rig CU 2
173.8183,Camera Rig POV 1b
178.7592,Camera Rig POV 2
190.0539,Camera Rig FS 1b
218.2935,Camera Rig MS 3
237.9401,Camera Rig MS 4
248.4475,Camera Rig FS 3
263.8644,Camera Rig MLS 2
277.9567,Camera Rig IS 1b
285.2412,Camera Rig MS 4b
308.371,Camera Rig FS 2b
327.1986,Camera Rig MLS 2b
331.6671,Camera Rig IS 2
337.4013,Camera Rig MS 5
338.931,Camera Rig POV4
340.5922,Camera Rig CU 3
349.2533,Camera Rig FS 5
354.5824,Camera Rig MS 4c
361.2233,Camera Rig CU 4
367.4034,Camera Rig POV 5
371.0489,Camera Rig CU 4b
379.2175,Camera Rig FS 2c
384.9452,Camera Rig MS 4d
402.7809,Camera Rig CU 3b
412.8387,Camera Rig CU Move 1
422.7096,Camera Rig CU 5
431.9341,Camera Rig FS 6
434.2523,Camera Rig CU 5b
453.2307,Camera Rig FS 6b
459.8352,Camera Rig CU 5c
470.4855,Camera Rig POV 6
486.4788,Camera Rig FS 6c
489.2507,Camera Rig IS 3
491.4789,Camera Rig FS 1c
495.2833,Camera Rig ECU 1
499.2509,Camera Rig IS 3b
501.2265,Camera Rig ECU 1b
503.1172,Camera Rig ECU 2
506.2857,Camera Rig FS 7
515.6687,Camera Rig MLS 3
517.8073,Camera Rig POV 7
522.9859,Camera Rig CU Move 2
526.7955,Camera Rig FS 8
533.7134,Camera Rig MLS 4
545.1826,Camera Rig LS 2
552.3278,Camera Rig WS 2
