0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.005120834
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.004545649
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.001611063
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.003850159
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.002588401
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.003402649
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.00345656
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.002133291
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.004356048
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.0007065518
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.003538943
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.004708292
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.00544673
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.00361596
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.004336469
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.003667413
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.002628713
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.00263497
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.001043382
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.003642437
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.002497114
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.0016065
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.002435755
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.002955102
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.003677618
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.002459423
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.006405297
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.0004286809
0.02,(0.00, 0.00, 0.00),(0.00, 0.00, 1.00),Nullreference,0.001444127
