60.25454,Camera Rig FS 1
71.12677,Camera Rig MS 1
78.4675,Camera Rig IS 1
82.38814,Camera Rig CU 1
100.3004,Camera Rig LS 1
115.7145,Camera Rig CU 1b
129.964,Camera Rig FS 2
142.1355,Camera Rig MS 2
152.4526,Camera Rig MLS 1
153.7541,Camera Rig POV 1
155.1302,Camera Rig CU 2
173.8002,Camera Rig POV 1b
178.7307,Camera Rig POV 2
190.0135,Camera Rig FS 1b
218.1804,Camera Rig MS 3
239.5027,Camera Rig MS 4
248.7986,Camera Rig FS 3
267.046,Camera Rig MLS 2
278.0864,Camera Rig IS 1b
285.228,Camera Rig MS 4b
308.35,Camera Rig FS 2b
327.1847,Camera Rig MLS 2b
330.6051,Camera Rig IS 2
336.9802,Camera Rig MS 5
338.9239,Camera Rig POV4
340.4582,Camera Rig CU 3
349.9303,Camera Rig FS 5
356.9711,Camera Rig MS 4c
360.836,Camera Rig CU 4
367.3754,Camera Rig POV 5
371.0204,Camera Rig CU 4b
378.8615,Camera Rig FS 2c
385.7581,Camera Rig MS 4d
403.1947,Camera Rig CU 3b
413.7785,Camera Rig CU Move 1
423.7189,Camera Rig CU 5
431.9263,Camera Rig FS 6
435.2126,Camera Rig CU 5b
453.2164,Camera Rig FS 6b
459.8134,Camera Rig CU 5c
470.4653,Camera Rig POV 6
485.2351,Camera Rig FS 6c
489.2272,Camera Rig IS 3
491.4764,Camera Rig FS 1c
495.7089,Camera Rig ECU 1
499.4716,Camera Rig IS 3b
501.2185,Camera Rig ECU 1b
503.1042,Camera Rig ECU 2
506.7138,Camera Rig FS 7
516.5881,Camera Rig MLS 3
517.9642,Camera Rig POV 7
522.962,Camera Rig CU Move 2
525.8059,Camera Rig FS 8
533.2459,Camera Rig MLS 4
546.1516,Camera Rig LS 2
552.8375,Camera Rig WS 2
