51.6023,Camera Rig FS 1
71.13761,Camera Rig MS 1
76.94048,Camera Rig IS 1
82.39964,Camera Rig CU 1
100.3186,Camera Rig LS 1
115.726,Camera Rig CU 1b
129.7169,Camera Rig FS 2
142.1434,Camera Rig MS 2
152.6063,Camera Rig MLS 1
153.7714,Camera Rig POV 1
155.149,Camera Rig CU 2
173.8008,Camera Rig POV 1b
178.7356,Camera Rig POV 2
190.0264,Camera Rig FS 1b
218.2294,Camera Rig MS 3
239.5135,Camera Rig MS 4
249.0676,Camera Rig FS 3
263.8616,Camera Rig MLS 2
278.1045,Camera Rig IS 1b
285.2433,Camera Rig MS 4b
308.5276,Camera Rig FS 2b
326.386,Camera Rig MLS 2b
330.748,Camera Rig IS 2
336.319,Camera Rig MS 5
338.7455,Camera Rig POV4
340.5242,Camera Rig CU 3
350.3939,Camera Rig FS 5
355.6498,Camera Rig MS 4c
360.6213,Camera Rig CU 4
367.3833,Camera Rig POV 5
371.0379,Camera Rig CU 4b
378.9102,Camera Rig FS 2c
385.0837,Camera Rig MS 4d
402.855,Camera Rig CU 3b
414.5081,Camera Rig CU Move 1
423.2658,Camera Rig CU 5
431.9277,Camera Rig FS 6
434.553,Camera Rig CU 5b
451.284,Camera Rig FS 6b
460.5923,Camera Rig CU 5c
470.4798,Camera Rig POV 6
485.736,Camera Rig FS 6c
489.5403,Camera Rig IS 3
491.487,Camera Rig FS 1c
496.8146,Camera Rig ECU 1
499.5524,Camera Rig IS 3b
501.2206,Camera Rig ECU 1b
503.1182,Camera Rig ECU 2
507.3499,Camera Rig FS 7
515.6622,Camera Rig MLS 3
518.2806,Camera Rig POV 7
522.9924,Camera Rig CU Move 2
526.9634,Camera Rig FS 8
533.345,Camera Rig MLS 4
545.1539,Camera Rig LS 2
555.5901,Camera Rig WS 2
